brand,currency,price,colors,name,sizes,categories
nike,usd,29.96,brown,new nike 414986-101 air show elite 2 white / black men's baseball cleats 6 us,6,"clothing, shoes & accessories,baseball & softball,team sports,men's,shoes & cleats,sporting goods"
nike,usd,39.95,black,new nike 414986-101 air show elite 2 white / black men's baseball cleats 6 us,6,"clothing, shoes & accessories,baseball & softball,team sports,men's,shoes & cleats,sporting goods"
nike,usd,44.98,red,new nike 414986-101 air show elite 2 white / black men's baseball cleats 6 us,6,"clothing, shoes & accessories,baseball & softball,team sports,men's,shoes & cleats,sporting goods"
blackberry,cad,35.95,"black,grey,brown",sofiamore? men's shoes casual fabric sandals/slippers black/brown/gray,10,"athletic,men,shoes,shoes & handbags"
puma,usd,59.98,black,puma suede classic + big logo   round toe suede  sneakers,"10,8.5","all men's shoes,men's casual shoes,shoes,men's shoes,clothing"
puma,usd,47.99,black,puma suede classic + big logo   round toe suede  sneakers,"10,8.5","all men's shoes,men's casual shoes,shoes,men's shoes,clothing"
puma,usd,60,black,puma suede classic + big logo   round toe suede  sneakers,"10,8.5","all men's shoes,men's casual shoes,shoes,men's shoes,clothing"
dr. martens,usd,185,shetland,dr. martens men's jace boot,5,"all men's shoes,shoes,men's shoes,clothing"
superior glove works,usd,100.47,beige,superior glove works superior 66brblue teammate guncut split leather fitter glove with blue rubberized safety cuff and blue cotton back work (pack of,4,"men's work gloves,power tools,safety apparel,women's workwear & uniforms,safety & shop gear,workwear & uniforms,hand tools,clothing,tools,men's clothing,office supplies,women's clothing,women's work gloves,gloves,women's workwear accessories,clothing, shoes & jewelry,men's workwear & uniforms,men's workwear accessories,office safety & security"
superior glove works,usd,91.43,green,superior glove works superior 66brblue teammate guncut split leather fitter glove with blue rubberized safety cuff and blue cotton back work (pack of,8,"men's work gloves,power tools,safety apparel,women's workwear & uniforms,safety & shop gear,workwear & uniforms,hand tools,clothing,tools,men's clothing,office supplies,women's clothing,women's work gloves,gloves,women's workwear accessories,clothing, shoes & jewelry,men's workwear & uniforms,men's workwear accessories,office safety & security"
lacrosse,usd,52.49,red,lacrosse work lite dc 8 brown boots,8,"home improvement,work safety clothing and equipment,men's work & safety shoes"
the original muck boot company,usd,160,brown,the original muck boot company men's wetland 14 brown waterproof field boot,"10,7,6,5,15,9,8,13,14,11,12","men's boots,shoes,clothing, shoes & jewelry,men's shoes,men's work shoes & boots"
the original muck boot company,usd,136,brown,the original muck boot company men's wetland 14 brown waterproof field boot,"10,7,6,5,15,9,8,13,14,11,12","men's boots,shoes,clothing, shoes & jewelry,men's shoes,men's work shoes & boots"
the original muck boot company,usd,159.95,brown,the original muck boot company men's wetland 14 brown waterproof field boot,"10,7,6,5,15,9,8,13,14,11,12","men's boots,shoes,clothing, shoes & jewelry,men's shoes,men's work shoes & boots"
reebok,usd,15.99,red rush,reebok breeze tee graphic short sleeves t-shirt,xl,"clothing, shoes & jewelry,clothing,men's clothing,men's activewear,all men's clothing"
reebok,usd,32,red rush,reebok breeze tee graphic short sleeves t-shirt,xl,"clothing, shoes & jewelry,clothing,men's clothing,men's activewear,all men's clothing"
unbranded,usd,25.99,black,men's genuine leather shoulder messenger bag business briefcase crossbody bag,7,"clothing, shoes & accessories,men's accessories,backpacks, bags & briefcases"
laco/1925,usd,378,green,laco/1925 men's 861690 pilot classic stainless steel watch with leather band,7,"men,wrist watches,watches,clothing, shoes & jewelry"
laco/1925,usd,338.05,grey,laco/1925 men's 861690 pilot classic stainless steel watch with leather band,5,"men,wrist watches,watches,clothing, shoes & jewelry"
laco/1925,usd,282.9,brown,laco/1925 men's 861690 pilot classic stainless steel watch with leather band,9,"men,wrist watches,watches,clothing, shoes & jewelry"
laco/1925,usd,324,red,laco/1925 men's 861690 pilot classic stainless steel watch with leather band,4,"men,wrist watches,watches,clothing, shoes & jewelry"
laco/1925,usd,287.9,red,laco/1925 men's 861690 pilot classic stainless steel watch with leather band,12,"men,wrist watches,watches,clothing, shoes & jewelry"
laco/1925,usd,402,grey,laco/1925 men's 861690 pilot classic stainless steel watch with leather band,5,"men,wrist watches,watches,clothing, shoes & jewelry"
oakley,aud,169,jade iridium polarized,new mens oakley sunglasses hijinx black ink / jade iridium polarized oo9021-05,6,"sporting goods,cycling,sunglasses, goggles,clothing, shoes, accessories,men's sunglasses"
oakley,aud,159.99,jade iridium polarized,new mens oakley sunglasses hijinx black ink / jade iridium polarized oo9021-05,12,"sporting goods,cycling,sunglasses, goggles,clothing, shoes, accessories,men's sunglasses"
nike,usd,49.99,black,mens nike alpha pro td mid football cleats size 9.5/10/11.5 black-out (molded),12,"football,clothing, shoes & accessories,team sports,men,shoes & cleats,sporting goods"
nike,usd,44.99,black,mens nike alpha pro td mid football cleats size 9.5/10/11.5 black-out (molded),5,"football,clothing, shoes & accessories,team sports,men,shoes & cleats,sporting goods"
nike,usd,45.99,black,mens nike alpha pro td mid football cleats size 9.5/10/11.5 black-out (molded),10,"football,clothing, shoes & accessories,team sports,men,shoes & cleats,sporting goods"
alpine swiss,usd,34.99,green,alpine swiss valon mens fashion sneakers low top dress or casual comfort shoes,5,"clothing,shoes,men's shoes,all men's shoes"
alpine swiss,usd,87.5,green,alpine swiss valon mens fashion sneakers low top dress or casual comfort shoes,3,"clothing,shoes,men's shoes,all men's shoes"
badger,usd,10.49,grey,badger 2237 badger youth 6mini-mesh shorts -royal-l,6,"all men's clothing,men's clothing,clothing, shoes & jewelry,men's shorts,clothing"
genuine grip,usd,59.83,black,"genuine grip 4705-9m work shoes, mens, 9m, wht, slip on, pr",6,"home improvement,men's work & safety shoes,work safety clothing and equipment"
genuine grip,usd,52.99,brown,"genuine grip 4705-9m work shoes, mens, 9m, wht, slip on, pr",3,"home improvement,men's work & safety shoes,work safety clothing and equipment"
nike,usd,66.49,brown,men's nike zoom hyperrev sz. 10 (630913 300),10,"clothing, shoes & accessories,men's shoes,athletic,see more men's nike zoom hyperrev sz. 10 630913 300"
ncaa,usd,18.98,red,michigan men's team color contour flip flop small,3,"clothing,shoes,men's shoes,all men's shoes"
justin boots,usd,149.95,dark chestnut orange,justin boots work boots mens western steel toe waterproof chestnut wk4563,"10.5,10,8.5,7,9.5,7.5,11.5,9,8,13,14,11,12","men's boots,shoes,clothing, shoes & jewelry,men's shoes,men's work shoes & boots"
justin boots,usd,175,dark chestnut orange,justin boots work boots mens western steel toe waterproof chestnut wk4563,"10.5,10,8.5,7,9.5,7.5,11.5,9,8,13,14,11,12","men's boots,shoes,clothing, shoes & jewelry,men's shoes,men's work shoes & boots"
stillwater supply co.,usd,19.99,"blue,designer styles",stillwater supply co. denali men's winter fleece jacket coat,"xxl,l,m,xl","all men's clothing,men's clothing,men's outerwear,clothing, shoes & jewelry,clothing"
stillwater supply co.,usd,60,"blue,designer styles",stillwater supply co. denali men's winter fleece jacket coat,"xxl,l,m,xl","all men's clothing,men's clothing,men's outerwear,clothing, shoes & jewelry,clothing"
arnette,aud,119.95,grey,arnette an4190-08 easy money polarised fuzzy black havana/grey sunglasses new,12,"clothing, shoes, accessories,men's sunglasses"
reebok,usd,126.99,grey,"reebok rb655-7w work boots,7 sz,w,blk,6 in. h,womens,pr g4322230",9,"home improvement,men's work & safety shoes,work safety clothing and equipment"
mosiso,usd,7.99,"black,gray,spring green,grid gray",felt laptop sleeve case bag pouch cover for 11 13 15 notebook macbook air pro,11,"laptop & desktop accessories,clothing, shoes & accessories,men's accessories,computers/tablets & networking,backpacks, bags & briefcases,laptop cases & bags"
mosiso,usd,8.99,"black,gray,spring green,grid gray",felt laptop sleeve case bag pouch cover for 11 13 15 notebook macbook air pro,4,"laptop & desktop accessories,clothing, shoes & accessories,men's accessories,computers/tablets & networking,backpacks, bags & briefcases,laptop cases & bags"
josmo,usd,39.89,beige,"josmo 8190 plain infant walking shoes, white patent - size 2",7,"clothing,shoes,men's shoes,all men's shoes"
josmo,usd,51.99,red,"josmo 8190 plain infant walking shoes, white patent - size 2",6,"clothing,shoes,men's shoes,all men's shoes"
nike,usd,184.99,whitereflective silver-wolf grey-rtr,nike air jordan xx9 asw sz: mns 10 (744312 100),10,"clothing, shoes & accessories,men's shoes,athletic"
ibraggiotti,usd,1526.83,green,ibraggiotti beveled edge band wedding band (6.00 mm),3,"men's jewelry,men's rings,rings,clothing, shoes & jewelry,jewelry"
adidas,usd,899.99,red,adidas x kanye west yeezy boost 350 oxford tan deadstock size 9,9,"clothing, shoes & accessories,men's shoes,casual"
nocona,usd,171.99,green,nocona alabama branded men b square toe leather brown western boot,6,"all men's shoes,shoes,men's shoes,clothing"
nocona,usd,215,grey,nocona alabama branded men b square toe leather brown western boot,10,"all men's shoes,shoes,men's shoes,clothing"
nike,usd,44.95,black,new nike 454309 013 tiempo mystic black green men's soccer cleats size 9 us,9,"sporting goods,team sports,soccer,clothing, shoes & accessories,shoes & cleats,men"
fossa apparel,usd,73.31,green,fossa apparel 9920-chocolate-2xl 2x-large harbor corduroy fleece jacket in chocolate,10,"all men's clothing,men's clothing,men's outerwear,clothing, shoes & jewelry,clothing"
fossa apparel,usd,56.4,red,fossa apparel 9920-chocolate-2xl 2x-large harbor corduroy fleece jacket in chocolate,7,"all men's clothing,men's clothing,men's outerwear,clothing, shoes & jewelry,clothing"
vans,usd,29.99,blueblacktrue white,vans authentic acid denim black skateboarding shoes men's size 10.5 new in box,10.5 12,"clothing, shoes & accessories,men's shoes,athletic"
coach,usd,215.1,brown,nwt coach mens getaway perforated leather/nylon backpack black f 72077  450,12,"clothing, shoes & accessories,men's accessories,backpacks, bags & briefcases"
blackbird,usd,64.99,black,blackbird video camera sunglasses - black blb-acg-622,11,"clothing, shoes & accessories,men's accessories,sunglasses & fashion eyewear,sunglasses,consumer electronics,gadgets & other electronics,video glasses,electronics"
blackbird,usd,61.99,black,blackbird video camera sunglasses - black blb-acg-622,10,"clothing, shoes & accessories,men's accessories,sunglasses & fashion eyewear,sunglasses,consumer electronics,gadgets & other electronics,video glasses,electronics"
calvin klein,usd,140,grey,calvin klein nino cap-toe oxfords,11,"men,shoes,dress shoes"
marc jacobs,aud,299.98,brown,new authentic marc jacobs sunglasses mj 327/s 086/js dark havana/brown shaded,10,"clothing, shoes, accessories,men's sunglasses"
casio,usd,1400,black,casio g-shock mt-g tough solar  mens watch mtgs1000v-1acr,7,"clothing, shoes & jewelry,men,watches,wrist watches,jewelry,men's watches"
casio,usd,921.23,black,casio g-shock mt-g tough solar  mens watch mtgs1000v-1acr,9,"clothing, shoes & jewelry,men,watches,wrist watches,jewelry,men's watches"
casio,usd,933.99,black,casio g-shock mt-g tough solar  mens watch mtgs1000v-1acr,11,"clothing, shoes & jewelry,men,watches,wrist watches,jewelry,men's watches"
gameday boots,usd,130.48,brass,gameday boots mens brass leather texas at el paso cowboy boots (10) tep-m194-1,6,"all men's shoes,shoes,men's shoes,clothing"
puma,usd,110,red,puma clyde x undftd coverblock men cap toe suede fashion sneakers,11,"clothing,shoes,men's shoes,men's casual shoes"
puma,usd,32.99,black,puma clyde x undftd coverblock men cap toe suede fashion sneakers,10,"clothing,shoes,men's shoes,men's casual shoes"
berne apparel,usd,98.47,red,berne apparel gjs202xtat480 shedhorn softshell jacket44 realtree xtra - extra large,3,"all men's clothing,men's clothing,men's outerwear,clothing, shoes & jewelry,clothing"
berne apparel,usd,74.52,red,berne apparel gjs202xtat480 shedhorn softshell jacket44 realtree xtra - extra large,7,"all men's clothing,men's clothing,men's outerwear,clothing, shoes & jewelry,clothing"
converse,usd,18.99,blue,converse jp jack ox men us 9 blue sneakers pre owned 1650,9,"clothing, shoes & accessories,athletic,men's shoes"
mizuno,usd,54.95,blackwhite,mizuno 9-spike advanced erupt 3 baseball turf shoe - low - black/white - size 8.5,4,"all men's shoes,shoes,men's shoes,clothing"
mizuno,usd,65,blackwhite,mizuno 9-spike advanced erupt 3 baseball turf shoe - low - black/white - size 8.5,9,"all men's shoes,shoes,men's shoes,clothing"
nike,usd,54.45,multi-colored,nike vapor carbon elite 2014 td football cleats sz 14.5 white / navy blue,14.5,"football,clothing, shoes & accessories,team sports,men,shoes & cleats,sporting goods"
nu-source,usd,23.57,multicolor,"nu-source men standard boot liner, size - 12",11,"all men's shoes,shoes,men's shoes,clothing"
nu-source,usd,23.57,multicolor,"nu-source men standard boot liner, size - 12",10,"all men's shoes,shoes,men's shoes,clothing"
3n2,usd,51.72,brown,"3n2 7270-0101-75 unisex running shoe, black and white - 7. 5",8,"clothing,shoes,men's shoes,all men's shoes"
3n2,usd,69.96,black,"3n2 7270-0101-75 unisex running shoe, black and white - 7. 5",3,"clothing,shoes,men's shoes,all men's shoes"
phat farm,usd,31.34,grey,men's phat farm palisade lo ul tumb sneaker,3,"all men's shoes,shoes,men's shoes,clothing"
phat farm,usd,26.55,green,men's phat farm palisade lo ul tumb sneaker,8,"all men's shoes,shoes,men's shoes,clothing"
phat farm,usd,32.99,green,men's phat farm palisade lo ul tumb sneaker,4,"all men's shoes,shoes,men's shoes,clothing"
fossa apparel,usd,110.78,green,fossa apparel 5580-charcoal-5xl 5x-large men's boulevard soft shell coat in charcoal,6,"all men's clothing,men's clothing,clothing, shoes & jewelry,clothing"
fossa apparel,usd,84.16,black,fossa apparel 5580-charcoal-5xl 5x-large men's boulevard soft shell coat in charcoal,6,"all men's clothing,men's clothing,clothing, shoes & jewelry,clothing"
body glove,usd,28.48,black,"body glove 90197 breathable neoprene 12-inch padded knee support, black, large",5,"workwear & uniforms,men's workwear & uniforms,men's coveralls,clothing, shoes & jewelry,clothing,men's clothing"
body glove,usd,29.59,grey,"body glove 90197 breathable neoprene 12-inch padded knee support, black, large",7,"workwear & uniforms,men's workwear & uniforms,men's coveralls,clothing, shoes & jewelry,clothing,men's clothing"
bgood,usd,157.6,brown,bgood fashion winter mens warm woolen fleece jacket coat wool button up,11,"all men's clothing,men's clothing,clothing, shoes & jewelry,clothing"
clorts,usd,95,beige,men's seaside amphibious athletic pull on water shoe hiking water sneaker wt05c,4,"athletic,water shoes,men,shoes,clothing, shoes & jewelry"
vans,usd,29.93,"blue,scarletblack",vans mens chukka low sneakers,11,"all men's shoes,shoes,men's shoes,clothing"
vans,usd,59.99,"blue,scarletblack",vans mens chukka low sneakers,10,"all men's shoes,shoes,men's shoes,clothing"
timberland,usd,31,dark brown,timberland 9751 mens white ledge brown hiking boots shoes 8.5 medium (d) bhfo,12,"clothing, shoes & accessories,men's shoes,boots"
steel blue,aud,228.34,black,steel blue tindal safety boot - composite toe-cap water-resistant - 617561,7,"industrial,safety,protective gear,clothing, shoes, accessories,men's shoes,occupational"
nike,usd,66.49,ghost green,nike air zoom pegasus 32 mens running shoes 9.5 ghost green black 749340 300,9.5,"clothing, shoes & accessories,men's shoes,athletic"
timberland,usd,109.95,brownbrown,timberland euro hiker brown/brown men's hiking boots 6028b size 8.5,8,"all men's shoes,shoes,men's shoes,clothing"
alfani,usd,18.99,deep black,alfani 4550 new mens black cotton slim fit 4 button vest l bhfo,3,"clothing, shoes & accessories,men's clothing,vests"
polo ralph lauren,usd,59,"grey,dark khaki,denim",polo ralph lauren vito fashion sneaker shoe - mens,6,"clothing,shoes,men's shoes,men's casual shoes"
skechers,usd,76.66,black,"skechers size 16 composite toe athletic style work shoes, men's, black, d, 77013 -blk 16",6,"all men's shoes,shoes,men's shoes,clothing"
geox,usd,56,grey,geox men's fast11 driving moccasin,4,"shoes,clothing, shoes & jewelry,men,loafers & slip-ons"
geox,usd,140,black,geox men's fast11 driving moccasin,5,"shoes,clothing, shoes & jewelry,men,loafers & slip-ons"
skechers,usd,81.16,blackyellow,"skechers 77054 -bkyl sz 7.5 hiking shoes,7-1/2,d,men,black/yellow,pr g2273717",10,"men's boots,shoes,men's shoes,clothing"
skechers,usd,76.5,blackyellow,"skechers 77054 -bkyl sz 7.5 hiking shoes,7-1/2,d,men,black/yellow,pr g2273717",10,"men's boots,shoes,men's shoes,clothing"
asics,usd,89,titaniumblackred,men's asics - gel-nimbus 16 (t435n-9790) - size 12 - 40% off,12,"clothing, shoes & accessories,men's shoes,athletic"
saxx,usd,13.01,heather stripe,saxx 9699 mens vibe orange striped modern fit boxers m bhfo,10,"clothing, shoes & accessories,men's clothing,underwear,see more saxx 9699 mens vibe orange striped modern fit ..."
saxx,usd,18.99,heather stripe,saxx 9699 mens vibe orange striped modern fit boxers m bhfo,9,"clothing, shoes & accessories,men's clothing,underwear,see more saxx 9699 mens vibe orange striped modern fit ..."
saxx,usd,11.49,heather stripe,saxx 9699 mens vibe orange striped modern fit boxers m bhfo,3,"clothing, shoes & accessories,men's clothing,underwear,see more saxx 9699 mens vibe orange striped modern fit ..."
kenneth cole,usd,7,brown,mens kenneth cole sun glasses frame-less brown kc 4522 uv 400 protection,3,"clothing, shoes & accessories,sunglasses,sunglasses & fashion eyewear,men's accessories"
levi's,usd,129.99,red,new  278 levis 501 lvc 1947 fidler redline selvedge cone mills jeans 38x34,12,"clothing, shoes & accessories,men's clothing,jeans"
fitflop,usd,125,green,"fitflop mens flex loafer nubuck slip on shoe, charcoal, us 12",11,"clothing,shoes,men's shoes,men's casual shoes"
fitflop,usd,87.99,grey,"fitflop mens flex loafer nubuck slip on shoe, charcoal, us 12",10,"clothing,shoes,men's shoes,men's casual shoes"
florsheim,usd,125,"black,saddle tan,gray,brown",florsheim mens castellano wing leather wing tip derby shoes,11,"men's casual shoes,shoes,men's shoes,clothing"
totes isotoner,usd,17.02,black,"totes isotoner size small mens rubber geometric rain boots, black",11,"men's boots,all men's shoes,shoes,men's shoes,clothing"
totes isotoner,usd,22.95,beige,"totes isotoner size small mens rubber geometric rain boots, black",12,"men's boots,all men's shoes,shoes,men's shoes,clothing"
totes isotoner,usd,28,black,"totes isotoner size small mens rubber geometric rain boots, black",7,"men's boots,all men's shoes,shoes,men's shoes,clothing"
puma,usd,69.9,tealnavydove,puma mobium elite m men's shoes size,"10,11.5,13,14,11,12","all men's shoes,shoes,men's shoes,clothing"
puma,usd,59.9,tealnavydove,puma mobium elite m men's shoes size,"10,11.5,13,14,11,12","all men's shoes,shoes,men's shoes,clothing"
troy lee designs,usd,13.63,grey,troy lee designs cheetah crew socks blue 10-13,4,"all men's clothing,men's clothing,men's underwear,clothing, shoes & jewelry,men's socks & underwear,clothing"
circa joan & david,usd,55,green,circa m.i.a. men us 11 black skate shoe,5,"all men's shoes,shoes,men's shoes,clothing"
circa joan & david,usd,43.99,beige,circa m.i.a. men us 11 black skate shoe,5,"all men's shoes,shoes,men's shoes,clothing"
jordan,usd,106,blackblack-summit white,jordan phase 23 classic ss mens style 637893,"10,9.5,11","men's boots,men's casual shoes,shoes,clothing, shoes & jewelry,men's shoes"
devon & jones,usd,55.76,"charcoal,green leaf,red,black,navy,cadet",d770 wintercept fleece unisex vest,"xs,s,m,l,xl,xxl,3x,4x","clothing, shoes & jewelry,clothing,men's clothing,men's outerwear,all men's clothing"
devon & jones,usd,11.59,"charcoal,green leaf,red,black,navy,cadet",d770 wintercept fleece unisex vest,"xs,s,m,l,xl,xxl,3x,4x","clothing, shoes & jewelry,clothing,men's clothing,men's outerwear,all men's clothing"
devon & jones,usd,14.84,"charcoal,green leaf,red,black,navy,cadet",d770 wintercept fleece unisex vest,"xs,s,m,l,xl,xxl,3x,4x","clothing, shoes & jewelry,clothing,men's clothing,men's outerwear,all men's clothing"
devon & jones,usd,11.88,"charcoal,green leaf,red,black,navy,cadet",d770 wintercept fleece unisex vest,"xs,s,m,l,xl,xxl,3x,4x","clothing, shoes & jewelry,clothing,men's clothing,men's outerwear,all men's clothing"
devon & jones,usd,11.69,"charcoal,green leaf,red,black,navy,cadet",d770 wintercept fleece unisex vest,"xs,s,m,l,xl,xxl,3x,4x","clothing, shoes & jewelry,clothing,men's clothing,men's outerwear,all men's clothing"
devon & jones,usd,14.73,"charcoal,green leaf,red,black,navy,cadet",d770 wintercept fleece unisex vest,"xs,s,m,l,xl,xxl,3x,4x","clothing, shoes & jewelry,clothing,men's clothing,men's outerwear,all men's clothing"
devon & jones,usd,47.49,"charcoal,green leaf,red,black,navy,cadet",d770 wintercept fleece unisex vest,"xs,s,m,l,xl,xxl,3x,4x","clothing, shoes & jewelry,clothing,men's clothing,men's outerwear,all men's clothing"
nfl,usd,19.28,green,new orleans saints nfl men's shower slide flip flops small,6,"all men's shoes,shoes,men's shoes,clothing"
nfl,usd,17.99,grey,new orleans saints nfl men's shower slide flip flops small,12,"all men's shoes,shoes,men's shoes,clothing"
maui jim,aud,300,grey,sport polarized maui jim sunglasses bifocal readers ho'okipa 807 11 +1.50 new,4,"clothing, shoes, accessories,men's sunglasses"
azzuro,usd,36,beige,azzuro men's easy-wear long sleeves chic gray blazer coat s,5,"men's sport coats & blazers,all men's clothing,men's clothing,men's suits & sport coats,clothing, shoes & jewelry,clothing"
azzuro,usd,71.99,green,azzuro men's easy-wear long sleeves chic gray blazer coat s,7,"men's sport coats & blazers,all men's clothing,men's clothing,men's suits & sport coats,clothing, shoes & jewelry,clothing"
azzuro,usd,34.99,grey,azzuro men's easy-wear long sleeves chic gray blazer coat s,3,"men's sport coats & blazers,all men's clothing,men's clothing,men's suits & sport coats,clothing, shoes & jewelry,clothing"
azzuro,usd,33.12,brown,azzuro men's easy-wear long sleeves chic gray blazer coat s,9,"men's sport coats & blazers,all men's clothing,men's clothing,men's suits & sport coats,clothing, shoes & jewelry,clothing"
new balance,usd,71.2,outer spacered,"new balance mens running course, outer space/red, 9.5 d",5,"all men's shoes,shoes,men's shoes,clothing"
fq,usd,7.88,assorted,3 pack rabbit wool angora thermal men socks winter outdoor snow,Oct-15,"clothing, shoes & accessories,men's clothing,socks,sporting goods,winter sports,clothing"
seiko,usd,134.11,black,seiko mens 5 sports analog dress automatic watch nwt snzj05k1,5,"clothing, shoes & jewelry,men,watches,wrist watches"
seiko,usd,275,black,seiko mens 5 sports analog dress automatic watch nwt snzj05k1,12,"clothing, shoes & jewelry,men,watches,wrist watches"
thomas earnshaw,usd,141.97,green,thomas earnshaw men's es-8031-02 maskelyne two-tone stainless steel watch with brown genuine leather band,12,"watches,clothing, shoes & jewelry,men,wrist watches"
thomas earnshaw,usd,520,beige,thomas earnshaw men's es-8031-02 maskelyne two-tone stainless steel watch with brown genuine leather band,4,"watches,clothing, shoes & jewelry,men,wrist watches"
bedroom athletics,usd,40,grey,bedroom athletics bale slippers men  round toe canvas black slipper,11,"all men's shoes,shoes,men's shoes,women's shoes,clothing,all women's shoes"
bedroom athletics,usd,29.99,grey,bedroom athletics bale slippers men  round toe canvas black slipper,3,"all men's shoes,shoes,men's shoes,women's shoes,clothing,all women's shoes"
bedroom athletics,usd,23.99,black,bedroom athletics bale slippers men  round toe canvas black slipper,11,"all men's shoes,shoes,men's shoes,women's shoes,clothing,all women's shoes"
bedroom athletics,usd,21.99,beige,bedroom athletics bale slippers men  round toe canvas black slipper,9,"all men's shoes,shoes,men's shoes,women's shoes,clothing,all women's shoes"
electric,aud,45,gloss black,new electric sunglasses detroit xl gloss black / grey polarized es10801603,7,"sporting goods,cycling,sunglasses, goggles,clothing, shoes, accessories,men's sunglasses"
electric,aud,209,gloss black,new electric sunglasses detroit xl gloss black / grey polarized es10801603,6,"sporting goods,cycling,sunglasses, goggles,clothing, shoes, accessories,men's sunglasses"
reebok,usd,64.9,bluevoltpinkyellowwhiteblack,reebok zig ultra gradeschool kid's shoes size,5,"all men's shoes,shoes,men's shoes,clothing"
reebok,usd,64.9,bluevoltpinkyellowwhiteblack,reebok zig ultra gradeschool kid's shoes size,5,"all men's shoes,shoes,men's shoes,clothing"
kenneth cole reaction,usd,120,beige,kenneth cole reaction self review oxford shoes,10,"men,shoes,dress shoes"
nike,usd,58.99,blue black green,nike air pegasus 31 men's running shoes 652925 size 10,10,"clothing, shoes & accessories,athletic,men's shoes"
perry ellis,usd,24,"beige,black,brown",perry ellis slmf0449pe men  round toe canvas brown slipper,13,"clothing,shoes,men's shoes,all men's shoes"
perry ellis,usd,14.99,"beige,black,brown",perry ellis slmf0449pe men  round toe canvas brown slipper,13,"clothing,shoes,men's shoes,all men's shoes"
cold front,usd,49.88,black,cold front men's slusher boot,"10,9,8,13,11,12","all men's shoes,shoes,men's shoes,clothing"
cold front,usd,27.88,black,cold front men's slusher boot,"10,9,8,13,11,12","all men's shoes,shoes,men's shoes,clothing"
kenneth cole ny,usd,155,green,kenneth cole ny plus one   square toe leather  loafer,"10,11,12,9","clothing,shoes,men's shoes,men's casual shoes"
kenneth cole ny,usd,55.99,grey,kenneth cole ny plus one   square toe leather  loafer,"10,11,12,9","clothing,shoes,men's shoes,men's casual shoes"
ferro aldo,usd,39.09,black,ferro aldo mfa-19380al-e men round toe contrast stitching lace up dress oxfords,"10.5,10,9.5,13,12","men's dress shoes,men's oxfords,shoes,clothing, shoes & jewelry,men's shoes"
ferro aldo,usd,61.98,black,ferro aldo mfa-19380al-e men round toe contrast stitching lace up dress oxfords,"10.5,10,9.5,13,12","men's dress shoes,men's oxfords,shoes,clothing, shoes & jewelry,men's shoes"
citizen,usd,262.5,grey,citizen eco-drive men's au1065-58g axiom watch,4,"watches,clothing, shoes & jewelry,men,wrist watches"
citizen,usd,350,black,citizen eco-drive men's au1065-58g axiom watch,11,"watches,clothing, shoes & jewelry,men,wrist watches"
bar iii,usd,52.99,green,bar iii brad men  round toe leather  oxford,"10,10.5","clothing,shoes,men's shoes,men's dress shoes"
bar iii,usd,90,brown,bar iii brad men  round toe leather  oxford,"10,10.5","clothing,shoes,men's shoes,men's dress shoes"
rossi,aud,137,black,new rossi 775 peak lace-up safety steel toe boots (aus/us/eu),8,"industrial,protective gear,clothing, shoes, accessories,men's shoes,boots"
majestic glove,usd,15.29,red,"majestic glove work gloves, synthetic palm, hi-viz yellow back slip-on majestic glove gloves",11,"men's clothing,men's work outerwear,workwear & uniforms,clothing, shoes & jewelry,men's workwear & uniforms,clothing"
fireside casuals,usd,24.79,"camouflage,gray",men's camouflage espadrille slipper,"s,l,m","shoes,men's slippers,men's shoes,clothing"
fireside casuals,usd,23.99,"camouflage,gray",men's camouflage espadrille slipper,"s,l,m","shoes,men's slippers,men's shoes,clothing"
fireside casuals,usd,23.66,"camouflage,gray",men's camouflage espadrille slipper,"s,l,m","shoes,men's slippers,men's shoes,clothing"
fireside casuals,usd,30.45,"camouflage,gray",men's camouflage espadrille slipper,"s,l,m","shoes,men's slippers,men's shoes,clothing"
fireside casuals,usd,20,"camouflage,gray",men's camouflage espadrille slipper,"s,l,m","shoes,men's slippers,men's shoes,clothing"
fireside casuals,usd,20,"camouflage,gray",men's camouflage espadrille slipper,"s,l,m","shoes,men's slippers,men's shoes,clothing"
ogio,usd,53.35,black,"ogio - chill 6-12 can cooler, black, os",7,"clothing, shoes & accessories,men's clothing,mixed items,wholesale, large & small lots"
ogio,usd,41.59,black,"ogio - chill 6-12 can cooler, black, os",4,"clothing, shoes & accessories,men's clothing,mixed items,wholesale, large & small lots"
value brand,usd,18.42,brown,"heartland 70658-09 boots,plain toe,pvc,15 in,brown,9,pr",7,"home improvement,men's work & safety shoes,work safety clothing and equipment"
ralph lauren,usd,59,"greysapphire star,khakiexotic orange,polo blackneon yellow,newport navyultra lime",faxon canvas low sneaker,12,"sneakers,men,shoes"
berne apparel,usd,68.65,beige,berne apparel ch377bbr560 56''/3x-large washed chore coat - quilt lined regular - bark,3,"all men's clothing,men's clothing,men's outerwear,clothing, shoes & jewelry,clothing"
berne apparel,usd,86.39,red,berne apparel ch377bbr560 56''/3x-large washed chore coat - quilt lined regular - bark,12,"all men's clothing,men's clothing,men's outerwear,clothing, shoes & jewelry,clothing"
nike,usd,54.99,white,nib nike alpha pro d football cleats flywire (599008) white/black size 9.5,9.5,"sporting goods,team sports,football,clothing, shoes & accessories,shoes & cleats,men"
